Statistiche Fantacalcio Stagione 2022 23  Italia;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
118;D;Dc;Radovanovic;Salernitana;10;5,45;5,3;0;0;0;0;0;0;0;1;1;0
139;D;Dc;Dermaku;Lecce;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
144;D;Dc;Tonelli;Empoli;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
259;D;Dc;Murillo;Sampdoria;16;5,5;5,19;0;0;0;0;0;0;0;4;1;1
770;D;"Ds;E";Pezzella Giu.;Lecce;14;5,75;5,75;0;0;0;0;0;0;1;2;0;0
2016;D;Dc;Fazio;Salernitana;12;5,67;5,79;1;0;0;0;0;0;0;1;1;0
2180;D;"Dd;E";Karsdorp;Roma;12;5,62;5,62;0;0;0;0;0;0;0;0;0;0
2252;D;"Ds;Dc";Marchizza;Sassuolo;5;5,9;5,8;0;0;0;0;0;0;0;1;0;0
2279;D;Dc;Romagna;Sassuolo;1;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2446;D;"Dd;Dc";Donati;Monza;8;5,81;5,94;1;0;0;0;0;0;0;2;1;0
2668;D;"Dd;Ds;Dc";Retsos;Verona;2;5,5;5,5;0;0;0;0;0;0;0;0;0;0
2746;D;"Ds;E";Dijks;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4401;D;Dc;Gabbia;Milan;9;5,61;5,5;0;0;0;0;0;0;0;2;0;0
4960;D;Dc;Tuia;Lecce;7;6;5,93;0;0;0;0;0;0;0;1;0;0
4983;D;"Dd;Ds;E";Ferrer;Spezia;4;5,5;5,5;0;0;0;0;0;0;0;0;0;0
5313;D;"Dd;Ds;E";Dest;Milan;7;5,64;5,64;0;0;0;0;0;0;0;0;0;0
5354;D;"Ds;E";Ruggeri;Atalanta;10;5,85;5,8;0;0;0;0;0;0;1;3;0;0
